date,project,downloads
2025-05-10,pandas,8404007
2025-05-10,prophet,107183
2025-05-11,pandas,8308145
2025-05-11,prophet,112218
2025-05-12,pandas,12318608
2025-05-12,prophet,178694
2025-05-13,pandas,12997613
2025-05-13,prophet,175046
2025-05-14,pandas,13009468
2025-05-14,prophet,174977
2025-05-15,pandas,13423917
2025-05-15,prophet,175332
2025-05-16,pandas,12807694
2025-05-16,prophet,165663
2025-05-17,pandas,8834044
2025-05-17,prophet,114160
2025-05-18,pandas,8372308
2025-05-18,prophet,105965
2025-05-19,pandas,12360865
2025-05-19,prophet,183223
2025-05-20,pandas,13854620
2025-05-20,prophet,227595
2025-05-21,pandas,13566645
2025-05-21,prophet,204367
2025-05-22,pandas,13429075
2025-05-22,prophet,204276
2025-05-23,pandas,11480676
2025-05-23,prophet,168577
2025-05-24,pandas,8191435
2025-05-24,prophet,115288
2025-05-25,pandas,8065228
2025-05-25,prophet,121151
2025-05-26,pandas,10476318
2025-05-26,prophet,167314
2025-05-27,pandas,12041926
2025-05-27,prophet,185462
2025-05-28,pandas,12193586
2025-05-28,prophet,183088
2025-05-29,pandas,11930210
2025-05-29,prophet,175915
2025-05-30,pandas,11598758
2025-05-30,prophet,155347
2025-05-31,pandas,8164617
2025-05-31,prophet,104887
2025-06-01,pandas,8005718
2025-06-01,prophet,129017
2025-06-02,pandas,11597378
2025-06-02,prophet,162424
2025-06-03,pandas,12425721
2025-06-03,prophet,186507
2025-06-04,pandas,12263704
2025-06-04,prophet,165215
2025-06-05,pandas,12810499
2025-06-05,prophet,168931
2025-06-06,pandas,11852981
2025-06-06,prophet,157436
2025-06-07,pandas,8315468
2025-06-07,prophet,111834
2025-06-08,pandas,8286466
2025-06-08,prophet,114724
2025-06-09,pandas,11786905
2025-06-09,prophet,169542
2025-06-10,pandas,12737798
2025-06-10,prophet,201761
2025-06-11,pandas,12928021
2025-06-11,prophet,168612
2025-06-12,pandas,12035861
2025-06-12,prophet,166983
2025-06-13,pandas,12570534
2025-06-13,prophet,171938
2025-06-14,pandas,8616773
2025-06-14,prophet,123147
2025-06-15,pandas,8363626
2025-06-15,prophet,110241
2025-06-16,pandas,12490461
2025-06-16,prophet,181531
2025-06-17,pandas,5109321
2025-06-17,prophet,79780
