date,project,downloads
2023-03-17,pandas,3953631
2023-03-17,prophet,45501
2023-03-18,pandas,2851326
2023-03-18,prophet,25298
2023-03-19,pandas,2842168
2023-03-19,prophet,29333
2023-03-20,pandas,4054283
2023-03-20,prophet,53785
2023-03-21,pandas,4157200
2023-03-21,prophet,99452
2023-03-22,pandas,4131383
2023-03-22,prophet,69135
2023-03-23,pandas,4122626
2023-03-23,prophet,49740
2023-03-24,pandas,3965476
2023-03-24,prophet,72081
2023-03-25,pandas,2731557
2023-03-25,prophet,49039
2023-03-26,pandas,2585187
2023-03-26,prophet,64274
2023-03-27,pandas,3865754
2023-03-27,prophet,92253
2023-03-28,pandas,4225336
2023-03-28,prophet,92701
2023-03-29,pandas,4057410
2023-03-29,prophet,64937
2023-03-30,pandas,4192036
2023-03-30,prophet,50235
2023-03-31,pandas,3945136
2023-03-31,prophet,37141
2023-04-01,pandas,2816444
2023-04-01,prophet,26011
2023-04-02,pandas,2608514
2023-04-02,prophet,30832
2023-04-03,pandas,3971052
2023-04-03,prophet,46774
2023-04-04,pandas,4286679
2023-04-04,prophet,46801
2023-04-05,pandas,4401794
2023-04-05,prophet,53203
2023-04-06,pandas,4110059
2023-04-06,prophet,49137
2023-04-07,pandas,3481799
2023-04-07,prophet,35979
2023-04-08,pandas,2654752
2023-04-08,prophet,23163
2023-04-09,pandas,2597458
2023-04-09,prophet,27627
2023-04-10,pandas,3687069
2023-04-10,prophet,52833
2023-04-11,pandas,4202005
2023-04-11,prophet,51325
2023-04-12,pandas,4227022
2023-04-12,prophet,58154
2023-04-13,pandas,4198135
2023-04-13,prophet,69830
2023-04-14,pandas,3998648
2023-04-14,prophet,45009
2023-04-15,pandas,2734702
2023-04-15,prophet,23614
2023-04-16,pandas,2618459
2023-04-16,prophet,29915
2023-04-17,pandas,3943941
2023-04-17,prophet,54266
2023-04-18,pandas,4207612
2023-04-18,prophet,56685
2023-04-19,pandas,4277283
2023-04-19,prophet,53732
2023-04-20,pandas,4268618
2023-04-20,prophet,42759
2023-04-21,pandas,3832175
2023-04-21,prophet,40579
2023-04-22,pandas,2678995
2023-04-22,prophet,26551
2023-04-23,pandas,2741188
2023-04-23,prophet,34394
2023-04-24,pandas,4125304
2023-04-24,prophet,73847
2023-04-25,pandas,4290592
2023-04-25,prophet,66337
2023-04-26,pandas,4362087
2023-04-26,prophet,61294
2023-04-27,pandas,4249271
2023-04-27,prophet,67862
2023-04-28,pandas,4028268
2023-04-28,prophet,73701
2023-04-29,pandas,2692705
2023-04-29,prophet,24993
2023-04-30,pandas,2665281
2023-04-30,prophet,28996
2023-05-01,pandas,3561412
2023-05-01,prophet,55789
2023-05-02,pandas,4252514
2023-05-02,prophet,69155
2023-05-03,pandas,4243712
2023-05-03,prophet,92637
2023-05-04,pandas,4283705
2023-05-04,prophet,83859
2023-05-05,pandas,4273122
2023-05-05,prophet,69764
2023-05-06,pandas,2884791
2023-05-06,prophet,25684
2023-05-07,pandas,2700269
2023-05-07,prophet,32169
2023-05-08,pandas,3949141
2023-05-08,prophet,45016
2023-05-09,pandas,4168332
2023-05-09,prophet,46663
2023-05-10,pandas,4284965
2023-05-10,prophet,53080
2023-05-11,pandas,4231632
2023-05-11,prophet,53831
2023-05-12,pandas,3909518
2023-05-12,prophet,44257
2023-05-13,pandas,2741829
2023-05-13,prophet,28359
