ds;city;pres;prcp
13.01.2021;Aachen;1017.9;0
14.01.2021;Aachen;1018.6;0.3
15.01.2021;Aachen;1026.8;0
16.01.2021;Aachen;1025.5;1.6
17.01.2021;Aachen;1019.4;3.1
18.01.2021;Aachen;1023.6;0.3
19.01.2021;Aachen;1011.7;8
20.01.2021;Aachen;1000.6;0
21.01.2021;Aachen;991.8;5
22.01.2021;Aachen;993.2;3.2
23.01.2021;Aachen;995.7;2.7
24.01.2021;Aachen;998.6;4
25.01.2021;Aachen;1004.8;1.9
26.01.2021;Aachen;1017.4;0.2
27.01.2021;Aachen;1013.5;1.5
28.01.2021;Aachen;1004.7;16.6
29.01.2021;Aachen;998.1;9.6
30.01.2021;Aachen;1000.3;10.2
31.01.2021;Aachen;1000.5;0.8
01.02.2021;Aachen;994.4;2.8
02.02.2021;Aachen;1001.2;2.8
03.02.2021;Aachen;998.7;6.7
04.02.2021;Aachen;1012.4;0.7
05.02.2021;Aachen;1011.5;0
06.02.2021;Aachen;1006.8;5.3
07.02.2021;Aachen;996.9;9.9
08.02.2021;Aachen;999.5;3.2
09.02.2021;Aachen;1006.3;0.2
10.02.2021;Aachen;1012.7;0
11.02.2021;Aachen;1028.4;0
12.02.2021;Aachen;1032.1;0
13.02.2021;Aachen;1037.6;0
14.02.2021;Aachen;1035.1;0
15.02.2021;Aachen;1026;2.1
16.02.2021;Aachen;1017.2;1
17.02.2021;Aachen;1017.2;0.5
18.02.2021;Aachen;1011.5;3.4
19.02.2021;Aachen;1016.1;0
20.02.2021;Aachen;1013.5;0
21.02.2021;Aachen;1014.4;0
22.02.2021;Aachen;1019.1;0
23.02.2021;Aachen;1029.5;0
24.02.2021;Aachen;1029.9;0
25.02.2021;Aachen;1027.2;0
26.02.2021;Aachen;1034.1;2.2
27.02.2021;Aachen;1039.7;0
28.02.2021;Aachen;1036.6;0
01.03.2021;Aachen;1032.4;0
02.03.2021;Aachen;1030.6;0
03.03.2021;Aachen;1028.3;0
04.03.2021;Aachen;1021.8;6
05.03.2021;Aachen;1027.7;0
06.03.2021;Aachen;1032.8;0
07.03.2021;Aachen;1026.1;0
08.03.2021;Aachen;1023.6;0
09.03.2021;Aachen;1019.6;2.2
10.03.2021;Aachen;1016.7;1.2
11.03.2021;Aachen;1001.8;3.4
12.03.2021;Aachen;1006.9;2.7
